DateID,Date,Year,Month,Day,Month-Year,Day-Month-Year,ChicagoFiscalYear,IllinoisFiscalYear,Federal Holiday,DayOfWeek,Weekend,MinTemp(F),MaxTemp(F),New Snow,Snow Depth,Precipitation
1,1/1/2012,2012,1,1,01_2012,01_01_2012,2012,2012,"New Year's Day",Sunday,weekend,29,44,0.001,0,0.04
2,1/2/2012,2012,1,2,01_2012,02_01_2012,2012,2012,"New Year's Day observed",Monday,weekday,18,29,0.2,0,0.01
3,1/3/2012,2012,1,3,01_2012,03_01_2012,2012,2012,,Tuesday,weekday,13,27,0,0,0
4,1/4/2012,2012,1,4,01_2012,04_01_2012,2012,2012,,Wednesday,weekday,25,41,0,0,0
5,1/5/2012,2012,1,5,01_2012,05_01_2012,2012,2012,,Thursday,weekday,23,49,0,0,0
6,1/6/2012,2012,1,6,01_2012,06_01_2012,2012,2012,,Friday,weekday,38,55,0,0,0
7,1/7/2012,2012,1,7,01_2012,07_01_2012,2012,2012,,Saturday,weekend,28,44,0,0,0
8,1/8/2012,2012,1,8,01_2012,08_01_2012,2012,2012,,Sunday,weekend,25,42,0,0,0
9,1/9/2012,2012,1,9,01_2012,09_01_2012,2012,2012,,Monday,weekday,25,46,0,0,0
10,1/10/2012,2012,1,10,01_2012,10_01_2012,2012,2012,,Tuesday,weekday,25,52,0,0,0
11,1/11/2012,2012,1,11,01_2012,11_01_2012,2012,2012,,Wednesday,weekday,27,54,0,0,0
12,1/12/2012,2012,1,12,01_2012,12_01_2012,2012,2012,,Thursday,weekday,19,37,4.7,0,0.35
13,1/13/2012,2012,1,13,01_2012,13_01_2012,2012,2012,,Friday,weekday,17,22,0.2,4,0.01
14,1/14/2012,2012,1,14,01_2012,14_01_2012,2012,2012,,Saturday,weekend,8,19,0.2,4,0.001
15,1/15/2012,2012,1,15,01_2012,15_01_2012,2012,2012,,Sunday,weekend,5,31,0.001,4,0.001
16,1/16/2012,2012,1,16,01_2012,16_01_2012,2012,2012,Martin Luther King Jr. Day,Monday,weekday,30,45,0,4,0.04
17,1/17/2012,2012,1,17,01_2012,17_01_2012,2012,2012,,Tuesday,weekday,17,39,0.4,0,0.16
18,1/18/2012,2012,1,18,01_2012,18_01_2012,2012,2012,,Wednesday,weekday,10,26,0,0,0
19,1/19/2012,2012,1,19,01_2012,19_01_2012,2012,2012,,Thursday,weekday,5,28,0.1,0,0.01
20,1/20/2012,2012,1,20,01_2012,20_01_2012,2012,2012,,Friday,weekday,5,24,5.4,0,0.54
21,1/21/2012,2012,1,21,01_2012,21_01_2012,2012,2012,,Saturday,weekend,16,25,0.001,5,0.001
22,1/22/2012,2012,1,22,01_2012,22_01_2012,2012,2012,,Sunday,weekend,16,40,0.001,4,0.32
23,1/23/2012,2012,1,23,01_2012,23_01_2012,2012,2012,,Monday,weekday,30,46,0.001,0,0.29
24,1/24/2012,2012,1,24,01_2012,24_01_2012,2012,2012,,Tuesday,weekday,25,37,0,0,0
25,1/25/2012,2012,1,25,01_2012,25_01_2012,2012,2012,,Wednesday,weekday,22,36,0,0,0
26,1/26/2012,2012,1,26,01_2012,26_01_2012,2012,2012,,Thursday,weekday,32,38,0,0,0.001
27,1/27/2012,2012,1,27,01_2012,27_01_2012,2012,2012,,Friday,weekday,34,43,0.2,0,0.04
28,1/28/2012,2012,1,28,01_2012,28_01_2012,2012,2012,,Saturday,weekend,26,34,0.6,1,0.05
29,1/29/2012,2012,1,29,01_2012,29_01_2012,2012,2012,,Sunday,weekend,21,31,0.2,0,0.001
30,1/30/2012,2012,1,30,01_2012,30_01_2012,2012,2012,,Monday,weekday,22,53,0,0,0
31,1/31/2012,2012,1,31,01_2012,31_01_2012,2012,2012,,Tuesday,weekday,43,57,0,0,0
32,2/1/2012,2012,2,1,02_2012,01_02_2012,2012,2012,,Wednesday,weekday,32,48,0,0,0
33,2/2/2012,2012,2,2,02_2012,02_02_2012,2012,2012,,Thursday,weekday,31,43,0,0,0
34,2/3/2012,2012,2,3,02_2012,03_02_2012,2012,2012,,Friday,weekday,33,39,0,0,0
35,2/4/2012,2012,2,4,02_2012,04_02_2012,2012,2012,,Saturday,weekend,29,42,0,0,0
36,2/5/2012,2012,2,5,02_2012,05_02_2012,2012,2012,,Sunday,weekend,29,45,0,0,0
37,2/6/2012,2012,2,6,02_2012,06_02_2012,2012,2012,,Monday,weekday,30,33,0,0,0
38,2/7/2012,2012,2,7,02_2012,07_02_2012,2012,2012,,Tuesday,weekday,29,36,0.001,0,0.01
39,2/8/2012,2012,2,8,02_2012,08_02_2012,2012,2012,,Wednesday,weekday,25,37,0,0,0
40,2/9/2012,2012,2,9,02_2012,09_02_2012,2012,2012,,Thursday,weekday,21,36,0,0,0
41,2/10/2012,2012,2,10,02_2012,10_02_2012,2012,2012,,Friday,weekday,14,36,1.5,0,0.19
42,2/11/2012,2012,2,11,02_2012,11_02_2012,2012,2012,,Saturday,weekend,10,20,0,1,0
43,2/12/2012,2012,2,12,02_2012,12_02_2012,2012,2012,,Sunday,weekend,16,35,0,1,0
44,2/13/2012,2012,2,13,02_2012,13_02_2012,2012,2012,,Monday,weekday,15,36,0.3,0,0.03
45,2/14/2012,2012,2,14,02_2012,14_02_2012,2012,2012,,Tuesday,weekday,29,36,0.001,T,0.001
46,2/15/2012,2012,2,15,02_2012,15_02_2012,2012,2012,,Wednesday,weekday,30,43,0,0,0.16
47,2/16/2012,2012,2,16,02_2012,16_02_2012,2012,2012,,Thursday,weekday,34,47,0,0,0.02
48,2/17/2012,2012,2,17,02_2012,17_02_2012,2012,2012,,Friday,weekday,28,49,0,0,0
49,2/18/2012,2012,2,18,02_2012,18_02_2012,2012,2012,,Saturday,weekend,27,39,0,0,0
50,2/19/2012,2012,2,19,02_2012,19_02_2012,2012,2012,,Sunday,weekend,24,38,0,0,0
51,2/20/2012,2012,2,20,02_2012,20_02_2012,2012,2012,"Presidents' Day",Monday,weekday,22,45,0,0,0
52,2/21/2012,2012,2,21,02_2012,21_02_2012,2012,2012,,Tuesday,weekday,33,41,0.2,T,0.06
53,2/22/2012,2012,2,22,02_2012,22_02_2012,2012,2012,,Wednesday,weekday,29,44,0.1,T,0.01
54,2/23/2012,2012,2,23,02_2012,23_02_2012,2012,2012,,Thursday,weekday,29,40,0.001,0,0.33
55,2/24/2012,2012,2,24,02_2012,24_02_2012,2012,2012,,Friday,weekday,26,35,3.5,3,0.54
56,2/25/2012,2012,2,25,02_2012,25_02_2012,2012,2012,,Saturday,weekend,16,27,0,2,0
57,2/26/2012,2012,2,26,02_2012,26_02_2012,2012,2012,,Sunday,weekend,17,53,0,1,0
58,2/27/2012,2012,2,27,02_2012,27_02_2012,2012,2012,,Monday,weekday,25,40,0,0,0
59,2/28/2012,2012,2,28,02_2012,28_02_2012,2012,2012,,Tuesday,weekday,23,44,0,0,0.11
60,2/29/2012,2012,2,29,02_2012,29_02_2012,2012,2012,,Wednesday,weekday,35,59,0.001,0,0.18
61,3/1/2012,2012,3,1,03_2012,01_03_2012,2012,2012,,Thursday,weekday,35,40,0,0,0.001
62,3/2/2012,2012,3,2,03_2012,02_03_2012,2012,2012,,Friday,weekday,34,40,0.001,0,0.19
63,3/3/2012,2012,3,3,03_2012,03_03_2012,2012,2012,,Saturday,weekend,30,35,0.001,0,0.001
64,3/4/2012,2012,3,4,03_2012,04_03_2012,2012,2012,,Sunday,weekend,26,32,0.3,0,0.001
65,3/5/2012,2012,3,5,03_2012,05_03_2012,2012,2012,,Monday,weekday,21,37,0,0,0
66,3/6/2012,2012,3,6,03_2012,06_03_2012,2012,2012,,Tuesday,weekday,31,68,0,0,0
67,3/7/2012,2012,3,7,03_2012,07_03_2012,2012,2012,,Wednesday,weekday,54,68,0,0,0
68,3/8/2012,2012,3,8,03_2012,08_03_2012,2012,2012,,Thursday,weekday,37,63,0,0,0.28
69,3/9/2012,2012,3,9,03_2012,09_03_2012,2012,2012,,Friday,weekday,28,40,0,0,0
70,3/10/2012,2012,3,10,03_2012,10_03_2012,2012,2012,,Saturday,weekend,27,60,0,0,0
71,3/11/2012,2012,3,11,03_2012,11_03_2012,2012,2012,,Sunday,weekend,41,69,0,0,0.001
72,3/12/2012,2012,3,12,03_2012,12_03_2012,2012,2012,,Monday,weekday,52,65,0,0,0.19
73,3/13/2012,2012,3,13,03_2012,13_03_2012,2012,2012,,Tuesday,weekday,48,70,0,0,0
74,3/14/2012,2012,3,14,03_2012,14_03_2012,2012,2012,,Wednesday,weekday,46,81,0,0,0
75,3/15/2012,2012,3,15,03_2012,15_03_2012,2012,2012,,Thursday,weekday,48,81,0,0,0
76,3/16/2012,2012,3,16,03_2012,16_03_2012,2012,2012,,Friday,weekday,46,82,0,0,0
77,3/17/2012,2012,3,17,03_2012,17_03_2012,2012,2012,,Saturday,weekend,58,82,0,0,0
78,3/18/2012,2012,3,18,03_2012,18_03_2012,2012,2012,,Sunday,weekend,57,81,0,0,0
79,3/19/2012,2012,3,19,03_2012,19_03_2012,2012,2012,,Monday,weekday,61,78,0,0,0.03
80,3/20/2012,2012,3,20,03_2012,20_03_2012,2012,2012,,Tuesday,weekday,63,85,0,0,0
81,3/21/2012,2012,3,21,03_2012,21_03_2012,2012,2012,,Wednesday,weekday,61,87,0,0,0
82,3/22/2012,2012,3,22,03_2012,22_03_2012,2012,2012,,Thursday,weekday,60,83,0,0,0.16
83,3/23/2012,2012,3,23,03_2012,23_03_2012,2012,2012,,Friday,weekday,55,63,0,0,1.25
84,3/24/2012,2012,3,24,03_2012,24_03_2012,2012,2012,,Saturday,weekend,50,62,0,0,0.001
85,3/25/2012,2012,3,25,03_2012,25_03_2012,2012,2012,,Sunday,weekend,43,71,0,0,0
86,3/26/2012,2012,3,26,03_2012,26_03_2012,2012,2012,,Monday,weekday,37,47,0,0,0.001
87,3/27/2012,2012,3,27,03_2012,27_03_2012,2012,2012,,Tuesday,weekday,40,74,0,0,0
88,3/28/2012,2012,3,28,03_2012,28_03_2012,2012,2012,,Wednesday,weekday,45,68,0,0,0
89,3/29/2012,2012,3,29,03_2012,29_03_2012,2012,2012,,Thursday,weekday,40,48,0,0,0
90,3/30/2012,2012,3,30,03_2012,30_03_2012,2012,2012,,Friday,weekday,40,53,0.001,0,0.58
91,3/31/2012,2012,3,31,03_2012,31_03_2012,2012,2012,,Saturday,weekend,39,50,0,0,0
92,4/1/2012,2012,4,1,04_2012,01_04_2012,2012,2012,,Sunday,weekend,42,57,0,0,0.06
93,4/2/2012,2012,4,2,04_2012,02_04_2012,2012,2012,,Monday,weekday,47,62,0,0,0
94,4/3/2012,2012,4,3,04_2012,03_04_2012,2012,2012,,Tuesday,weekday,48,70,0,0,0
95,4/4/2012,2012,4,4,04_2012,04_04_2012,2012,2012,,Wednesday,weekday,46,58,0,0,0
96,4/5/2012,2012,4,5,04_2012,05_04_2012,2012,2012,,Thursday,weekday,38,49,0,0,0
97,4/6/2012,2012,4,6,04_2012,06_04_2012,2012,2012,,Friday,weekday,33,53,0,0,0
98,4/7/2012,2012,4,7,04_2012,07_04_2012,2012,2012,,Saturday,weekend,34,67,0,0,0.001
99,4/8/2012,2012,4,8,04_2012,08_04_2012,2012,2012,,Sunday,weekend,45,66,0,0,0.001
100,4/9/2012,2012,4,9,04_2012,09_04_2012,2012,2012,,Monday,weekday,41,63,0,0,0.001
101,4/10/2012,2012,4,10,04_2012,10_04_2012,2012,2012,,Tuesday,weekday,34,46,0,0,0
102,4/11/2012,2012,4,11,04_2012,11_04_2012,2012,2012,,Wednesday,weekday,32,54,0,0,0
103,4/12/2012,2012,4,12,04_2012,12_04_2012,2012,2012,,Thursday,weekday,32,63,0,0,0
104,4/13/2012,2012,4,13,04_2012,13_04_2012,2012,2012,,Friday,weekday,40,66,0,0,0
105,4/14/2012,2012,4,14,04_2012,14_04_2012,2012,2012,,Saturday,weekend,54,67,0,0,0.16
106,4/15/2012,2012,4,15,04_2012,15_04_2012,2012,2012,,Sunday,weekend,61,77,0,0,0.67
107,4/16/2012,2012,4,16,04_2012,16_04_2012,2012,2012,,Monday,weekday,43,67,0,0,0.01
108,4/17/2012,2012,4,17,04_2012,17_04_2012,2012,2012,,Tuesday,weekday,39,57,0,0,0
109,4/18/2012,2012,4,18,04_2012,18_04_2012,2012,2012,,Wednesday,weekday,39,73,0,0,0.01
110,4/19/2012,2012,4,19,04_2012,19_04_2012,2012,2012,,Thursday,weekday,45,61,0,0,0
111,4/20/2012,2012,4,20,04_2012,20_04_2012,2012,2012,,Friday,weekday,42,47,0,0,0.02
112,4/21/2012,2012,4,21,04_2012,21_04_2012,2012,2012,,Saturday,weekend,36,53,0,0,0
113,4/22/2012,2012,4,22,04_2012,22_04_2012,2012,2012,,Sunday,weekend,41,53,0,0,0
114,4/23/2012,2012,4,23,04_2012,23_04_2012,2012,2012,,Monday,weekday,39,60,0,0,0
115,4/24/2012,2012,4,24,04_2012,24_04_2012,2012,2012,,Tuesday,weekday,38,66,0,0,0
116,4/25/2012,2012,4,25,04_2012,25_04_2012,2012,2012,,Wednesday,weekday,46,61,0,0,0.1
117,4/26/2012,2012,4,26,04_2012,26_04_2012,2012,2012,,Thursday,weekday,39,55,0,0,0
118,4/27/2012,2012,4,27,04_2012,27_04_2012,2012,2012,,Friday,weekday,35,54,0,0,0.01
119,4/28/2012,2012,4,28,04_2012,28_04_2012,2012,2012,,Saturday,weekend,45,50,0,0,0.25
120,4/29/2012,2012,4,29,04_2012,29_04_2012,2012,2012,,Sunday,weekend,43,57,0,0,0.36
121,4/30/2012,2012,4,30,04_2012,30_04_2012,2012,2012,,Monday,weekday,50,62,0,0,0.001
122,5/1/2012,2012,5,1,05_2012,01_05_2012,2012,2012,,Tuesday,weekday,49,65,0,0,0.09
123,5/2/2012,2012,5,2,05_2012,02_05_2012,2012,2012,,Wednesday,weekday,58,80,0,0,0
124,5/3/2012,2012,5,3,05_2012,03_05_2012,2012,2012,,Thursday,weekday,66,86,0.001,0,1.34
125,5/4/2012,2012,5,4,05_2012,04_05_2012,2012,2012,,Friday,weekday,55,73,0,0,0.28
126,5/5/2012,2012,5,5,05_2012,05_05_2012,2012,2012,,Saturday,weekend,52,60,0,0,0.001
127,5/6/2012,2012,5,6,05_2012,06_05_2012,2012,2012,,Sunday,weekend,51,70,0,0,0.8
128,5/7/2012,2012,5,7,05_2012,07_05_2012,2012,2012,,Monday,weekday,52,64,0,0,0.47
129,5/8/2012,2012,5,8,05_2012,08_05_2012,2012,2012,,Tuesday,weekday,52,70,0,0,0
130,5/9/2012,2012,5,9,05_2012,09_05_2012,2012,2012,,Wednesday,weekday,47,60,0,0,0.06
131,5/10/2012,2012,5,10,05_2012,10_05_2012,2012,2012,,Thursday,weekday,46,67,0,0,0
132,5/11/2012,2012,5,11,05_2012,11_05_2012,2012,2012,,Friday,weekday,43,78,0,0,0
133,5/12/2012,2012,5,12,05_2012,12_05_2012,2012,2012,,Saturday,weekend,53,69,0,0,0.03
134,5/13/2012,2012,5,13,05_2012,13_05_2012,2012,2012,,Sunday,weekend,50,72,0,0,0
135,5/14/2012,2012,5,14,05_2012,14_05_2012,2012,2012,,Monday,weekday,43,82,0,0,0
136,5/15/2012,2012,5,15,05_2012,15_05_2012,2012,2012,,Tuesday,weekday,57,86,0,0,0.05
137,5/16/2012,2012,5,16,05_2012,16_05_2012,2012,2012,,Wednesday,weekday,50,65,0,0,0
138,5/17/2012,2012,5,17,05_2012,17_05_2012,2012,2012,,Thursday,weekday,45,74,0,0,0
139,5/18/2012,2012,5,18,05_2012,18_05_2012,2012,2012,,Friday,weekday,53,85,0,0,0
140,5/19/2012,2012,5,19,05_2012,19_05_2012,2012,2012,,Saturday,weekend,59,92,0,0,0
141,5/20/2012,2012,5,20,05_2012,20_05_2012,2012,2012,,Sunday,weekend,65,93,0,0,0.14
142,5/21/2012,2012,5,21,05_2012,21_05_2012,2012,2012,,Monday,weekday,54,67,0,0,0
143,5/22/2012,2012,5,22,05_2012,22_05_2012,2012,2012,,Tuesday,weekday,50,71,0,0,0
144,5/23/2012,2012,5,23,05_2012,23_05_2012,2012,2012,,Wednesday,weekday,47,82,0,0,0
145,5/24/2012,2012,5,24,05_2012,24_05_2012,2012,2012,,Thursday,weekday,64,90,0,0,0
146,5/25/2012,2012,5,25,05_2012,25_05_2012,2012,2012,,Friday,weekday,65,83,0,0,0
147,5/26/2012,2012,5,26,05_2012,26_05_2012,2012,2012,,Saturday,weekend,60,86,0,0,0.001
148,5/27/2012,2012,5,27,05_2012,27_05_2012,2012,2012,,Sunday,weekend,70,97,0,0,0
149,5/28/2012,2012,5,28,05_2012,28_05_2012,2012,2012,Memorial Day,Monday,weekday,77,95,0,0,0.001
150,5/29/2012,2012,5,29,05_2012,29_05_2012,2012,2012,,Tuesday,weekday,61,85,0,0,0
151,5/30/2012,2012,5,30,05_2012,30_05_2012,2012,2012,,Wednesday,weekday,53,70,0,0,0
152,5/31/2012,2012,5,31,05_2012,31_05_2012,2012,2012,,Thursday,weekday,47,54,0,0,1.12
153,6/1/2012,2012,6,1,06_2012,01_06_2012,2012,2012,,Friday,weekday,49,65,0,0,0.01
154,6/2/2012,2012,6,2,06_2012,02_06_2012,2012,2012,,Saturday,weekend,49,76,0,0,0
155,6/3/2012,2012,6,3,06_2012,03_06_2012,2012,2012,,Sunday,weekend,57,81,0,0,0.001
156,6/4/2012,2012,6,4,06_2012,04_06_2012,2012,2012,,Monday,weekday,59,75,0,0,0.001
157,6/5/2012,2012,6,5,06_2012,05_06_2012,2012,2012,,Tuesday,weekday,57,70,0,0,0
158,6/6/2012,2012,6,6,06_2012,06_06_2012,2012,2012,,Wednesday,weekday,52,76,0,0,0
159,6/7/2012,2012,6,7,06_2012,07_06_2012,2012,2012,,Thursday,weekday,54,82,0,0,0
160,6/8/2012,2012,6,8,06_2012,08_06_2012,2012,2012,,Friday,weekday,54,88,0,0,0
161,6/9/2012,2012,6,9,06_2012,09_06_2012,2012,2012,,Saturday,weekend,65,90,0,0,0
162,6/10/2012,2012,6,10,06_2012,10_06_2012,2012,2012,,Sunday,weekend,67,93,0,0,0
163,6/11/2012,2012,6,11,06_2012,11_06_2012,2012,2012,,Monday,weekday,70,90,0,0,0.001
164,6/12/2012,2012,6,12,06_2012,12_06_2012,2012,2012,,Tuesday,weekday,59,78,0,0,0
165,6/13/2012,2012,6,13,06_2012,13_06_2012,2012,2012,,Wednesday,weekday,54,72,0,0,0
166,6/14/2012,2012,6,14,06_2012,14_06_2012,2012,2012,,Thursday,weekday,56,87,0,0,0
167,6/15/2012,2012,6,15,06_2012,15_06_2012,2012,2012,,Friday,weekday,59,94,0,0,0
168,6/16/2012,2012,6,16,06_2012,16_06_2012,2012,2012,,Saturday,weekend,69,94,0,0,0.31
169,6/17/2012,2012,6,17,06_2012,17_06_2012,2012,2012,,Sunday,weekend,69,87,0,0,0.11
170,6/18/2012,2012,6,18,06_2012,18_06_2012,2012,2012,,Monday,weekday,69,94,0,0,0
171,6/19/2012,2012,6,19,06_2012,19_06_2012,2012,2012,,Tuesday,weekday,78,95,0,0,0
172,6/20/2012,2012,6,20,06_2012,20_06_2012,2012,2012,,Wednesday,weekday,77,95,0,0,0
173,6/21/2012,2012,6,21,06_2012,21_06_2012,2012,2012,,Thursday,weekday,70,85,0,0,0.01
174,6/22/2012,2012,6,22,06_2012,22_06_2012,2012,2012,,Friday,weekday,64,87,0,0,0
175,6/23/2012,2012,6,23,06_2012,23_06_2012,2012,2012,,Saturday,weekend,62,87,0,0,0
176,6/24/2012,2012,6,24,06_2012,24_06_2012,2012,2012,,Sunday,weekend,65,94,0,0,0
177,6/25/2012,2012,6,25,06_2012,25_06_2012,2012,2012,,Monday,weekday,60,76,0,0,0
