LocationID,Location Description,Location Groups,Community Area ID,Community Area,Major SubRegion,Major Region
1,ABANDONED BUILDING,Building,1,ROGERS PARK,Far North Side,North Side
12,AIRPORT TERMINAL UPPER LEVEL-NON-SECURE AREA,Air Travel,1,ROGERS PARK,Far North Side,North Side
17,ALLEY,Outside,1,ROGERS PARK,Far North Side,North Side
18,ANIMAL HOSPITAL,Business,1,ROGERS PARK,Far North Side,North Side
19,APARTMENT,Apartment,1,ROGERS PARK,Far North Side,North Side
20,APPLIANCE STORE,Business,1,ROGERS PARK,Far North Side,North Side
21,ATHLETIC CLUB,Business,1,ROGERS PARK,Far North Side,North Side
22,ATM (AUTOMATIC TELLER MACHINE),Outside,1,ROGERS PARK,Far North Side,North Side
23,AUTO,Transportation,1,ROGERS PARK,Far North Side,North Side
24,AUTO/BOAT/RV DEALERSHIP,Business,1,ROGERS PARK,Far North Side,North Side
25,BANK,Business,1,ROGERS PARK,Far North Side,North Side
27,BAR OR TAVERN,Business,1,ROGERS PARK,Far North Side,North Side
28,BARBERSHOP,Business,1,ROGERS PARK,Far North Side,North Side
35,CAR WASH,Business,1,ROGERS PARK,Far North Side,North Side
37,CHA APARTMENT,Apartment,1,ROGERS PARK,Far North Side,North Side
41,CHA HALLWAY/STAIRWELL/ELEVATOR,Building,1,ROGERS PARK,Far North Side,North Side
44,CHA PARKING LOT/GROUNDS,Outside,1,ROGERS PARK,Far North Side,North Side
48,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,Business,1,ROGERS PARK,Far North Side,North Side
50,CLEANING STORE,Business,1,ROGERS PARK,Far North Side,North Side
52,COIN OPERATED MACHINE,Business,1,ROGERS PARK,Far North Side,North Side
53,COLLEGE/UNIVERSITY GROUNDS,Outside,1,ROGERS PARK,Far North Side,North Side
54,COLLEGE/UNIVERSITY RESIDENCE HALL,Apartment,1,ROGERS PARK,Far North Side,North Side
55,COMMERCIAL/BUSINESS OFFICE,Business,1,ROGERS PARK,Far North Side,North Side
56,CONSTRUCTION SITE,Business,1,ROGERS PARK,Far North Side,North Side
57,CONVENIENCE STORE,Business,1,ROGERS PARK,Far North Side,North Side
58,CREDIT UNION,Business,1,ROGERS PARK,Far North Side,North Side
61,CTA BUS,Transportation,1,ROGERS PARK,Far North Side,North Side
62,CTA BUS STOP,Transportation,1,ROGERS PARK,Far North Side,North Side
63,CTA GARAGE/OTHER PROPERTY,Transportation,1,ROGERS PARK,Far North Side,North Side
64,CTA PARKING LOT/GARAGE/OTHER PROPERTY,Transportation,1,ROGERS PARK,Far North Side,North Side
65,CTA PLATFORM,Transportation,1,ROGERS PARK,Far North Side,North Side
67,CTA STATION,Transportation,1,ROGERS PARK,Far North Side,North Side
68,CTA SUBWAY STATION,Transportation,1,ROGERS PARK,Far North Side,North Side
69,CTA TRACKS-RIGHT OF WAY,Transportation,1,ROGERS PARK,Far North Side,North Side
70,CTA TRAIN,Transportation,1,ROGERS PARK,Far North Side,North Side
71,CURRENCY EXCHANGE,Business,1,ROGERS PARK,Far North Side,North Side
72,DAY CARE CENTER,Business,1,ROGERS PARK,Far North Side,North Side
74,DEPARTMENT STORE,Business,1,ROGERS PARK,Far North Side,North Side
76,DRIVEWAY-RESIDENTIAL,Outside,1,ROGERS PARK,Far North Side,North Side
77,DRUG STORE,Business,1,ROGERS PARK,Far North Side,North Side
78,ELEVATOR,Building,1,ROGERS PARK,Far North Side,North Side
80,FACTORY/MANUFACTURING BUILDING,Business,1,ROGERS PARK,Far North Side,North Side
83,FIRE STATION,Business,1,ROGERS PARK,Far North Side,North Side
84,FOREST PRESERVE,Outside,1,ROGERS PARK,Far North Side,North Side
85,GANGWAY,Outside,1,ROGERS PARK,Far North Side,North Side
88,GAS STATION,Business,1,ROGERS PARK,Far North Side,North Side
91,GOVERNMENT BUILDING/PROPERTY,Business,1,ROGERS PARK,Far North Side,North Side
92,GROCERY FOOD STORE,Business,1,ROGERS PARK,Far North Side,North Side
97,HOSPITAL BUILDING/GROUNDS,Business,1,ROGERS PARK,Far North Side,North Side
99,HOTEL/MOTEL,Business,1,ROGERS PARK,Far North Side,North Side
100,HOUSE,Residence,1,ROGERS PARK,Far North Side,North Side
105,LAKEFRONT/WATERFRONT/RIVERBANK,Outside,1,ROGERS PARK,Far North Side,North Side
107,LIBRARY,Business,1,ROGERS PARK,Far North Side,North Side
109,MEDICAL/DENTAL OFFICE,Business,1,ROGERS PARK,Far North Side,North Side
111,MOVIE HOUSE/THEATER,Business,1,ROGERS PARK,Far North Side,North Side
112,NEWSSTAND,Outside,1,ROGERS PARK,Far North Side,North Side
114,NURSING HOME/RETIREMENT HOME,Business,1,ROGERS PARK,Far North Side,North Side
115,Not Specified,Not Specified,1,ROGERS PARK,Far North Side,North Side
117,OTHER,Other,1,ROGERS PARK,Far North Side,North Side
118,OTHER (SPECIFY),Other,1,ROGERS PARK,Far North Side,North Side
119,OTHER COMMERCIAL TRANSPORTATION,Transportation,1,ROGERS PARK,Far North Side,North Side
120,OTHER RAILROAD PROPERTY/TRAIN DEPOT,Transportation,1,ROGERS PARK,Far North Side,North Side
121,PARK PROPERTY,Outside,1,ROGERS PARK,Far North Side,North Side
122,PARKING LOT,Outside,1,ROGERS PARK,Far North Side,North Side
123,PARKING LOT/GARAGE (NON RESIDENTIAL),Outside,1,ROGERS PARK,Far North Side,North Side
124,PAWN SHOP,Business,1,ROGERS PARK,Far North Side,North Side
126,POLICE FACILITY/VEHICLE PARKING LOT,Business,1,ROGERS PARK,Far North Side,North Side
127,POOLROOM,Business,1,ROGERS PARK,Far North Side,North Side
128,PORCH,Residence,1,ROGERS PARK,Far North Side,North Side
131,RESIDENCE,Residence,1,ROGERS PARK,Far North Side,North Side
132,RESIDENCE-GARAGE,Residence,1,ROGERS PARK,Far North Side,North Side
133,RESIDENCE-PORCH/HALLWAY,Residence,1,ROGERS PARK,Far North Side,North Side
134,RESIDENCE-YARD (FRONT/BACK),Residence,1,ROGERS PARK,Far North Side,North Side
135,RESTAURANT,Business,1,ROGERS PARK,Far North Side,North Side
136,RETAIL STORE,Business,1,ROGERS PARK,Far North Side,North Side
140,SAVINGS AND LOAN,Business,1,ROGERS PARK,Far North Side,North Side
142,SCHOOL-PRIVATE BUILDING,Business,1,ROGERS PARK,Far North Side,North Side
143,SCHOOL-PRIVATE GROUNDS,Outside,1,ROGERS PARK,Far North Side,North Side
144,SCHOOL-PUBLIC BUILDING,Business,1,ROGERS PARK,Far North Side,North Side
145,SCHOOL-PUBLIC GROUNDS,Outside,1,ROGERS PARK,Far North Side,North Side
146,SIDEWALK,Outside,1,ROGERS PARK,Far North Side,North Side
147,SMALL RETAIL STORE,Business,1,ROGERS PARK,Far North Side,North Side
148,SPORTS ARENA/STADIUM,Business,1,ROGERS PARK,Far North Side,North Side
149,STAIRWELL,Apartment,1,ROGERS PARK,Far North Side,North Side
150,STREET,Street,1,ROGERS PARK,Far North Side,North Side
152,TAVERN/LIQUOR STORE,Business,1,ROGERS PARK,Far North Side,North Side
153,TAXICAB,Transportation,1,ROGERS PARK,Far North Side,North Side
157,VACANT LOT/LAND,Outside,1,ROGERS PARK,Far North Side,North Side
158,VEHICLE NON-COMMERCIAL,Transportation,1,ROGERS PARK,Far North Side,North Side
159,VEHICLE-COMMERCIAL,Transportation,1,ROGERS PARK,Far North Side,North Side
162,VEHICLE-DELIVERY TRUCK,Transportation,1,ROGERS PARK,Far North Side,North Side
163,VEHICLE-OTHER RIDE SERVICE,Transportation,1,ROGERS PARK,Far North Side,North Side
164,"VEHICLE-OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",Transportation,1,ROGERS PARK,Far North Side,North Side
166,WAREHOUSE,Business,1,ROGERS PARK,Far North Side,North Side
170,ABANDONED BUILDING,Building,2,WEST RIDGE,Far North Side,North Side
171,AIRCRAFT,Air Travel,2,WEST RIDGE,Far North Side,North Side
186,ALLEY,Outside,2,WEST RIDGE,Far North Side,North Side
187,ANIMAL HOSPITAL,Business,2,WEST RIDGE,Far North Side,North Side
188,APARTMENT,Apartment,2,WEST RIDGE,Far North Side,North Side
189,APPLIANCE STORE,Business,2,WEST RIDGE,Far North Side,North Side
190,ATHLETIC CLUB,Business,2,WEST RIDGE,Far North Side,North Side
191,ATM (AUTOMATIC TELLER MACHINE),Outside,2,WEST RIDGE,Far North Side,North Side
192,AUTO,Transportation,2,WEST RIDGE,Far North Side,North Side
193,AUTO/BOAT/RV DEALERSHIP,Business,2,WEST RIDGE,Far North Side,North Side
194,BANK,Business,2,WEST RIDGE,Far North Side,North Side
196,BAR OR TAVERN,Business,2,WEST RIDGE,Far North Side,North Side
197,BARBERSHOP,Business,2,WEST RIDGE,Far North Side,North Side
203,BRIDGE,Outside,2,WEST RIDGE,Far North Side,North Side
204,CAR WASH,Business,2,WEST RIDGE,Far North Side,North Side
205,CEMETARY,Outside,2,WEST RIDGE,Far North Side,North Side
206,CHA APARTMENT,Apartment,2,WEST RIDGE,Far North Side,North Side
210,CHA HALLWAY/STAIRWELL/ELEVATOR,Building,2,WEST RIDGE,Far North Side,North Side
213,CHA PARKING LOT/GROUNDS,Outside,2,WEST RIDGE,Far North Side,North Side
217,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,Business,2,WEST RIDGE,Far North Side,North Side
219,CLEANING STORE,Business,2,WEST RIDGE,Far North Side,North Side
221,COIN OPERATED MACHINE,Business,2,WEST RIDGE,Far North Side,North Side
222,COLLEGE/UNIVERSITY GROUNDS,Outside,2,WEST RIDGE,Far North Side,North Side
224,COMMERCIAL/BUSINESS OFFICE,Business,2,WEST RIDGE,Far North Side,North Side
225,CONSTRUCTION SITE,Business,2,WEST RIDGE,Far North Side,North Side
226,CONVENIENCE STORE,Business,2,WEST RIDGE,Far North Side,North Side
227,CREDIT UNION,Business,2,WEST RIDGE,Far North Side,North Side
