Community Area,Major Region,Major SubRegion,Community Area ID,Year,Population
ALBANY PARK,North Side,Far North Side,14,2000,57655
ALBANY PARK,North Side,Far North Side,14,2010,51542
ALBANY PARK,North Side,Far North Side,14,2011,53389
ALBANY PARK,North Side,Far North Side,14,2012,53089
ALBANY PARK,North Side,Far North Side,14,2013,52790
ALBANY PARK,North Side,Far North Side,14,2014,52930
ALBANY PARK,North Side,Far North Side,14,2015,52079
ALBANY PARK,North Side,Far North Side,14,2016,51891
ALBANY PARK,North Side,Far North Side,14,2017,51591
ALBANY PARK,North Side,Far North Side,14,2018,51291
ALBANY PARK,North Side,Far North Side,14,2019,50992
ALBANY PARK,North Side,Far North Side,14,2020,51542
ALBANY PARK,North Side,Far North Side,14,2021,50392
ALBANY PARK,North Side,Far North Side,14,2022,50093
ALBANY PARK,North Side,Far North Side,14,2023,49793
ARCHER HEIGHTS,South Side,Southwest Side,57,2000,12644
ARCHER HEIGHTS,South Side,Southwest Side,57,2010,13393
ARCHER HEIGHTS,South Side,Southwest Side,57,2011,13298
ARCHER HEIGHTS,South Side,Southwest Side,57,2012,13342
ARCHER HEIGHTS,South Side,Southwest Side,57,2013,13385
ARCHER HEIGHTS,South Side,Southwest Side,57,2014,13971
ARCHER HEIGHTS,South Side,Southwest Side,57,2015,13266
ARCHER HEIGHTS,South Side,Southwest Side,57,2016,13514
ARCHER HEIGHTS,South Side,Southwest Side,57,2017,13557
ARCHER HEIGHTS,South Side,Southwest Side,57,2018,13601
ARCHER HEIGHTS,South Side,Southwest Side,57,2019,13644
ARCHER HEIGHTS,South Side,Southwest Side,57,2020,13393
ARCHER HEIGHTS,South Side,Southwest Side,57,2021,13730
ARCHER HEIGHTS,South Side,Southwest Side,57,2022,13773
ARCHER HEIGHTS,South Side,Southwest Side,57,2023,13816
ARMOUR SQUARE,South Side,South Side,34,2000,12032
ARMOUR SQUARE,South Side,South Side,34,2010,13391
ARMOUR SQUARE,South Side,South Side,34,2011,13288
ARMOUR SQUARE,South Side,South Side,34,2012,13375
ARMOUR SQUARE,South Side,South Side,34,2013,13461
ARMOUR SQUARE,South Side,South Side,34,2014,13907
ARMOUR SQUARE,South Side,South Side,34,2015,14068
ARMOUR SQUARE,South Side,South Side,34,2016,13719
ARMOUR SQUARE,South Side,South Side,34,2017,13805
ARMOUR SQUARE,South Side,South Side,34,2018,13891
ARMOUR SQUARE,South Side,South Side,34,2019,13977
